distfile,author,has_meta_yml,has_meta_json,meta_spec,meta_generator,meta_gen_package,meta_gen_version,meta_error,has_dist_ini
AADLER/Games-LogicPuzzle-0.20.zip,AADLER,0,0,,,,,,0
AADLER/Inline-Octave-0.22.zip,AADLER,0,0,,,,,,0
AAKD/MultiProcFactory-0.04.tar.gz,AAKD,0,0,,,,,,0
AAKD/XML-Simple-Tree-0.03.tar.gz,AAKD,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AAKHTER/Visio-1.010.tar.gz,AAKHTER,1,0,,"ExtUtils::MakeMaker version 6.21",ExtUtils::MakeMaker,6.21,,0
AALLAN/Astro-ADS-1.20.7.tar.gz,AALLAN,0,0,,,,,,0
AALLAN/Astro-Aladin-2.0.2.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.10_07",ExtUtils::MakeMaker,6.10_07,,0
AALLAN/Astro-Catalog-2.1.2.tar.gz,AALLAN,0,0,,,,,,0
AALLAN/Astro-Catalog-2.1.3.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.10_07",ExtUtils::MakeMaker,6.10_07,,0
AALLAN/Astro-Catalog-3.5.1.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.10_07",ExtUtils::MakeMaker,6.10_07,,0
AALLAN/Astro-Catalog-3.9.9.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AALLAN/Astro-Catalog-4.1.0.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AALLAN/Astro-Corlate-2.0.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.10_07",ExtUtils::MakeMaker,6.10_07,,0
AALLAN/Astro-DSS-1.6.1.tar.gz,AALLAN,0,0,,,,,,0
AALLAN/Astro-GCN-0.1.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AALLAN/Astro-SIMBAD-2.0.0.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AALLAN/Astro-VO-VOEvent-0.9.4.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.30",ExtUtils::MakeMaker,6.30,,0
AALLAN/Misc-Quality-0.1.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AALLAN/Number-Uncertainty-0.1.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AALLAN/XML-Document-RTML-1.16.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.30",ExtUtils::MakeMaker,6.30,,0
AALLAN/XML-Document-Transport-0.2.tar.gz,AALLAN,1,0,,"ExtUtils::MakeMaker version 6.30",ExtUtils::MakeMaker,6.30,,0
AAR/Crypt-GCrypt-1.24.tar.gz,AAR,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AAR/Mail-Ezmlm-Archive-0.16.tar.gz,AAR,1,0,,"ExtUtils::MakeMaker version 6.12",ExtUtils::MakeMaker,6.12,,0
AAR/Module-Crypt-0.05.tar.gz,AAR,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AAR/Net-Calais-1.02.tar.gz,AAR,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AAR/Net-LDAP-Server-0.42.tar.gz,AAR,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AAR/POE-Component-Gearman-Client-0.03.tar.gz,AAR,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AAR/POE-Component-Growl-1.00.tar.gz,AAR,1,0,,"ExtUtils::MakeMaker version 6.12",ExtUtils::MakeMaker,6.12,,0
AAR/String-SetUTF8-1.00.tar.gz,AAR,1,0,,"ExtUtils::MakeMaker version 6.12",ExtUtils::MakeMaker,6.12,,0
AARDEN/Tk-ActivityBar/Tk-ActivityBar-0.01.tar.gz,AARDEN,0,0,,,,,,0
AARDO/Combine-4.003.tar.gz,AARDO,1,0,,"ExtUtils::MakeMaker version 6.30_01",ExtUtils::MakeMaker,6.30_01,,0
AARONJJ/Class-DBI-Plugin-FilterOnClick-1.2.tar.gz,AARONJJ,1,0,,,,,"YAML::Tiny found bad indenting in line '    Class::DBI:                    0.94' at meta-gen.pl line 47",0
AARONJJ/Image-Processor-0.6.tar.gz,AARONJJ,0,0,,,,,,0
AARONJJ/XMail-Ctrl-2.3.tar.gz,AARONJJ,0,0,,,,,,0
AARONSCA/Cisco-CopyConfig-1.4.tgz,AARONSCA,1,0,,"ExtUtils::MakeMaker version 6.12",ExtUtils::MakeMaker,6.12,,0
AASSAD/Catalyst-Helper-Controller-Scaffold-HTML-Template-0.03.tar.gz,AASSAD,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
AASSAD/Devel-StealthDebug-1.008.tar.gz,AASSAD,0,0,,,,,,0
AAU/MRIM/Net-MRIM-1.11.tar.gz,AAU,1,0,,"ExtUtils::MakeMaker version 6.30",ExtUtils::MakeMaker,6.30,,0
AAYARS/Devel-Ladybug-0.411.tar.gz,AAYARS,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
AAYARS/Devel-Ladybug-Net-0.402.tar.gz,AAYARS,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
AAYARS/Devel-Pillbug-0.006.tar.gz,AAYARS,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
AAYARS/GlobalDBI-0.22.tar.gz,AAYARS,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
AAYARS/Math-Fractal-Noisemaker-0.101.tar.gz,AAYARS,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
ABALAMA/CGI-SessionM-2.00.tar.gz,ABALAMA,0,0,,,,,,0
ABALAMA/TemplateM-2.23.tar.gz,ABALAMA,1,0,,"ExtUtils::MakeMaker version 6.30",ExtUtils::MakeMaker,6.30,,0
ABARCLAY/Filesys-DiskFree-0.06.tar.gz,ABARCLAY,0,0,,,,,,0
ABARCLAY/Set-NestedGroups-0.01.tar.gz,ABARCLAY,0,0,,,,,,0
ABCDEFGH/RTx-BecomeUser-1.0.tar.gz,ABCDEFGH,1,0,1.3,"Module::Install version 0.68",Module::Install,0.68,,0
ABEL/Eidolon-0.02.tar.gz,ABEL,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
ABEL/Eidolon-Driver-DB-MySQL-0.01.tar.gz,ABEL,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
ABEL/Eidolon-Driver-DB-PostgreSQL-0.01.tar.gz,ABEL,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
ABEL/Eidolon-Driver-Log-Basic-0.01.tar.gz,ABEL,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
ABEL/Eidolon-Driver-Router-Basic-0.02.tar.gz,ABEL,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
ABEL/Eidolon-Driver-Router-Consequent-0.01.tar.gz,ABEL,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
ABEL/Eidolon-Driver-Template-HTML-0.01.tar.gz,ABEL,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
ABEL/Eidolon-Driver-Template-Toolkit-0.01.tar.gz,ABEL,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
